crop_id,crop_name,district_id,date,price_per_quintal
1,Rice,5,2023-01-01,2100
1,Rice,5,2023-02-01,2150
1,Rice,5,2023-03-01,2200
1,Rice,5,2023-04-01,2180
1,Rice,5,2023-05-01,2250
1,Rice,5,2023-06-01,2300
1,Rice,5,2023-07-01,2320
1,Rice,5,2023-08-01,2350
1,Rice,5,2023-09-01,2400
1,Rice,5,2023-10-01,2450
1,Rice,5,2023-11-01,2480
1,Rice,5,2023-12-01,2500
1,Rice,5,2024-01-01,2550
1,Rice,5,2024-02-01,2600
1,Rice,5,2024-03-01,2650
1,Rice,5,2024-04-01,2680
1,Rice,5,2024-05-01,2700
1,Rice,5,2024-06-01,2750
1,Rice,5,2024-07-01,2800
1,Rice,5,2024-08-01,2850
1,Rice,5,2024-09-01,2900
1,Rice,5,2024-10-01,2950
2,Wheat,5,2023-01-01,2000
2,Wheat,5,2023-02-01,2050
2,Wheat,5,2023-03-01,2100
2,Wheat,5,2023-04-01,2150
2,Wheat,5,2023-05-01,2180
2,Wheat,5,2023-06-01,2200
2,Wheat,5,2023-07-01,2250
2,Wheat,5,2023-08-01,2300
2,Wheat,5,2023-09-01,2350
2,Wheat,5,2023-10-01,2400
2,Wheat,5,2023-11-01,2450
2,Wheat,5,2023-12-01,2480
2,Wheat,5,2024-01-01,2500
2,Wheat,5,2024-02-01,2550
2,Wheat,5,2024-03-01,2600
2,Wheat,5,2024-04-01,2650
2,Wheat,5,2024-05-01,2700
2,Wheat,5,2024-06-01,2750
2,Wheat,5,2024-07-01,2800
2,Wheat,5,2024-08-01,2850
2,Wheat,5,2024-09-01,2900
2,Wheat,5,2024-10-01,2950
3,Ragi,5,2023-01-01,2500
3,Ragi,5,2023-02-01,2550
3,Ragi,5,2023-03-01,2600
3,Ragi,5,2023-04-01,2650
3,Ragi,5,2023-05-01,2700
3,Ragi,5,2023-06-01,2750
3,Ragi,5,2023-07-01,2800
3,Ragi,5,2023-08-01,2850
3,Ragi,5,2023-09-01,2900
3,Ragi,5,2023-10-01,2950
3,Ragi,5,2023-11-01,3000
3,Ragi,5,2023-12-01,3050
3,Ragi,5,2024-01-01,3100
3,Ragi,5,2024-02-01,3150
3,Ragi,5,2024-03-01,3200
3,Ragi,5,2024-04-01,3250
3,Ragi,5,2024-05-01,3300
3,Ragi,5,2024-06-01,3350
3,Ragi,5,2024-07-01,3400
3,Ragi,5,2024-08-01,3450
3,Ragi,5,2024-09-01,3500
3,Ragi,5,2024-10-01,3550
4,Jowar,5,2023-01-01,2200
4,Jowar,5,2023-02-01,2250
4,Jowar,5,2023-03-01,2300
4,Jowar,5,2023-04-01,2320
4,Jowar,5,2023-05-01,2350
4,Jowar,5,2023-06-01,2380
4,Jowar,5,2023-07-01,2400
4,Jowar,5,2023-08-01,2450
4,Jowar,5,2023-09-01,2500
4,Jowar,5,2023-10-01,2520
4,Jowar,5,2023-11-01,2550
4,Jowar,5,2023-12-01,2580
4,Jowar,5,2024-01-01,2600
4,Jowar,5,2024-02-01,2650
4,Jowar,5,2024-03-01,2700
4,Jowar,5,2024-04-01,2750
4,Jowar,5,2024-05-01,2780
4,Jowar,5,2024-06-01,2800
4,Jowar,5,2024-07-01,2850
4,Jowar,5,2024-08-01,2900
4,Jowar,5,2024-09-01,2950
4,Jowar,5,2024-10-01,3000
5,Maize,5,2023-01-01,1800
5,Maize,5,2023-02-01,1850
5,Maize,5,2023-03-01,1900
5,Maize,5,2023-04-01,1950
5,Maize,5,2023-05-01,2000
5,Maize,5,2023-06-01,2050
5,Maize,5,2023-07-01,2100
5,Maize,5,2023-08-01,2150
5,Maize,5,2023-09-01,2200
5,Maize,5,2023-10-01,2250
5,Maize,5,2023-11-01,2300
5,Maize,5,2023-12-01,2350
5,Maize,5,2024-01-01,2400
5,Maize,5,2024-02-01,2450
5,Maize,5,2024-03-01,2500
5,Maize,5,2024-04-01,2550
5,Maize,5,2024-05-01,2600
5,Maize,5,2024-06-01,2650
5,Maize,5,2024-07-01,2700
5,Maize,5,2024-08-01,2750
5,Maize,5,2024-09-01,2800
5,Maize,5,2024-10-01,2850
